Layer;category;techno;latitude;longitude;operator;capacite_gwh_year;site_info;operational_status;co2_injection_potential_tpy;municipality;eiffel;eiffel_project_name;capacity_kt_per_year
Offtake;Food processing;Animal raw material processing;52,33341;6,11495;Grolleman Vrieshuis B.V.;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Olst;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,33274;6,10609;Hogeslag-Olst B.V.;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Olst;0;N/A;N/A
Offtake;Food processing;Milk processing;52,325799;-6,448604;Tirlán Limited;N/A;Capacity: >200 tonnes/day;Operational;200;Wexford;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,324333;-8,692795;Dawn Meats Ireland t/a Dawn Charleville;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Cork;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,32213211;19,44691277;"Zak?ady Przetwórstwa Mi?snego ""KONIAREK"" - e";N/A;Capacity: >50 tonnes carcass/day;Operational;500;Kozia Góra;0;N/A;N/A
Offtake;Food processing;Animal raw material processing;52,32043503;7,062636392;Anlage zur Herstellung von Separatorenfleisch;N/A;Capacity: >75 tonnes/day finished product, excluding milk;Operational;500;Bad Bentheim;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,31972;6,34999;Hutten Traditional Beef;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Heeten;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,31634796;8,620731621;Schlachten von sonstigen Tieren;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Lübbecke;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,31433295;10,48543096;Mühle für Futtermittel;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Braunschweig;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,31322436;7,798942957;Nahrungsmittelverarbeitung;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Mettingen;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,3107872;17,06074333;SOKO?ÓW S.A oddzia? w Robakowie - Linia uboju trzody;N/A;Capacity: >50 tonnes carcass/day;Operational;500;G?dki;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,30969792;13,29833601;Anlage zur Herstellung von Erfrischungsgetränken;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Ludwigsfelde;0;N/A;N/A
Offtake;Food processing;Vegetable raw material processing;52,30955282;7,451812846;Nahrungsmittelverarbeitung;N/A;Capacity: >300 tonnes/day, or >600 tonnes/day if ?90 consecutive days/year;Operational;1500;Rheine;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,30853126;8,435251968;Lebensmittelerzeugung;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Bad Essen;0;N/A;N/A
Offtake;Food processing;Slaughterhouses;52,30846998;13,65323771;Geflügelschlachtbetrieb;N/A;Capacity: >50 tonnes carcass/day;Operational;500;Königs Wusterhausen;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,30781663;8,962920961;Herstellung von Tierfutter;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Minden;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,30625876;8,955632849;Herstellung von Tiernahrung;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Minden;0;N/A;N/A
Offtake;Food processing;Mixed animal & vegetable raw material processing;52,30344307;8,951397219;Mühle für Futtermittel 260.000 Tonnen/a;N/A;Capacity: >75 tonnes/day if animal share ?10%, or >[300 – (22.5 × A)] tonnes/day if animal share <10%;Operational;500;Minden;0;N/A;N/A
