OBJECTID,Symbol,start_lon,start_lat,end_lon,end_lat
2,"132-150 kV Transmission Line, 1 Circuit",8.06195069334373,53.6223262577603,8.17382812497107,53.8314598143934
4,"132-150 kV Transmission Line Under Construction, 1 Circuit",1.42215782766694,38.9141100946612,1.49372027805491,38.9836176281823
6,"132-150 kV Transmission Line, 1 Circuit",40.0469549876615,43.4731613354869,40.1102759772758,43.3920481650354
7,"132-150 kV Transmission Line, 1 Circuit",39.9046216211733,43.5604913571637,40.0469549876615,43.4731613354869
8,"132-150 kV Transmission Line, 1 Circuit",25.2091646315634,37.1008247160721,24.9327402845581,37.4462292133063
9,"132-150 kV Transmission Line, 1 Circuit",25.3614504479473,37.4464676594321,24.9327402845581,37.4462292133063
10,"132-150 kV Transmission Line, 1 Circuit",23.9845802664943,37.7529024583855,24.9327402845581,37.4462292133063
11,"132-150 kV Transmission Line, 1 Circuit",24.9475182134939,37.6977010523442,24.9327402845581,37.4462292133063
12,"132-150 kV Transmission Line, 1 Circuit",12.9144287109073,54.8355000814572,12.8704833984073,54.7166885689563
13,"132-150 kV Transmission Line, 1 Circuit",13.0078124999698,54.9902217200544,12.9254150390323,54.8291722745269
19,"132-150 kV Transmission Line Under Construction, 2 Circuits",1.3235877888705,38.980591040855,1.49372027805491,38.9836176281823
58,"132-150 kV Transmission Line, 1 Circuit",48.7463370380398,46.5511841361971,48.8333315014547,46.6141146760279
94,"132-150 kV Transmission Line, 1 Circuit",48.5923227520526,46.5029429278082,48.7463370380398,46.5511841361971
135,"132-150 kV Transmission Line, 1 Circuit",32.5652768510631,34.7213356757834,33.4088208578033,35.0182261239993
136,"132-150 kV Transmission Line, 1 Circuit",33.4110162263668,35.0200278310216,33.6377180062561,34.9880450869828
137,"132-150 kV Transmission Line, 1 Circuit",33.6168188589608,34.936304062302,33.6377180062561,34.9880450869828
138,"132-150 kV Transmission Line, 1 Circuit",33.3180162312801,35.0407614901138,33.3299827497879,35.0856870156337
139,"132-150 kV Transmission Line, 1 Circuit",33.6377180062561,34.9880450869828,33.7999604460197,34.9684915893189
140,"132-150 kV Transmission Line, 1 Circuit",33.3299827497879,35.0856870156337,33.0869499934582,35.1130135653314
141,"132-150 kV Transmission Line, 1 Circuit",33.7999604460197,34.9684915893189,33.4831140047787,35.1110744227199
142,"132-150 kV Transmission Line, 1 Circuit",33.7999604460197,34.9684915893189,34.0452318169467,35.0306042319429
143,"132-150 kV Transmission Line, 1 Circuit",33.4821501093835,35.1128631931035,33.3299827497879,35.0856870156337
144,"132-150 kV Transmission Line, 1 Circuit",33.4821501093835,35.1128631931035,33.4082696449708,35.0189031648266
145,"132-150 kV Transmission Line, 1 Circuit",12.5436401366887,54.5800215520675,12.8704833984073,54.7166885689563
146,"132-150 kV Transmission Line, 1 Circuit, underground",11.6615664492452,54.5479353821947,11.7399821901419,54.6519345409565
147,"132-150 kV Transmission Line, 1 Circuit, underground",11.4752577426205,54.6201774907579,11.5012943706134,54.5681383256806
190,"132-150 kV Transmission Line, 1 Circuit",12.5714604250029,56.0431946787441,12.5197897620088,55.9336284515649
201,"132-150 kV Transmission Line, 1 Circuit",3.19776024816863,39.5902722081724,3.88939389227121,40.028643319345
202,"132-150 kV Transmission Line, 1 Circuit",4.20016430146772,39.870256178984,4.20016430146772,39.870256178984
203,"132-150 kV Transmission Line, 1 Circuit",4.20016430146772,39.870256178984,3.88939389227121,40.028643319345
204,"132-150 kV Transmission Line, 1 Circuit",4.20016430146772,39.870256178984,3.88939389227121,40.028643319345
205,"132-150 kV Transmission Line, 1 Circuit",24.8830048661607,37.7997477357694,24.9475182134939,37.6977010523442
206,"132-150 kV Transmission Line, 1 Circuit",-14.6856028987236,65.0290823831001,-21.1408861188732,65.076085550673
207,"132-150 kV Transmission Line, 1 Circuit",-14.6856028987236,65.0290823831001,-19.1238751922339,64.1725138259386
208,"132-150 kV Transmission Line, 1 Circuit",-14.6856028987236,65.0290823831001,-14.5242955516415,65.3464139428874
209,"132-150 kV Transmission Line, 1 Circuit",-21.8564086437722,64.0139632037097,-22.494510138115,63.9076564324136
210,"132-150 kV Transmission Line, 1 Circuit",-22.494510138115,63.9076564324136,-22.6767418485796,63.8382470535999
211,"132-150 kV Transmission Line, 1 Circuit",-22.494510138115,63.9076564324136,-22.4494621866677,63.8700175085164
212,"132-150 kV Transmission Line, 1 Circuit",-21.7225582994804,64.0867974872397,-21.0468330699464,64.0831147198695
213,"132-150 kV Transmission Line, 1 Circuit",-21.7225582994804,64.0867974872397,-21.7225582994804,64.0867974872397
214,"132-150 kV Transmission Line, 1 Circuit",-21.7361088697387,64.3859632127801,-21.1408861188732,65.076085550673
215,"132-150 kV Transmission Line, 1 Circuit",-21.1408861188732,65.076085550673,-23.1473668323248,65.7871253402329
222,"132-150 kV Transmission Line, 1 Circuit",59.1870981108599,50.7843899032429,59.1730033368773,50.7608376668536
223,"132-150 kV Transmission Line, 1 Circuit",60.5826215688835,53.1554194338623,60.8624173307218,52.9256065926178
225,"132-150 kV Transmission Line, 1 Circuit",46.6615630760077,49.314971828439,46.8536388961323,49.5105511800509
228,"132-150 kV Transmission Line, 1 Circuit",48.5352683172455,41.7699809589332,48.6980832585873,41.6027482028689
229,"132-150 kV Transmission Line, 1 Circuit",18.4916133256572,42.9159631313344,18.3030669500617,42.9197620560278
230,"132-150 kV Transmission Line, 1 Circuit",23.2104843109518,41.4090517589935,22.9569625854164,41.4110632765447
233,"132-150 kV Transmission Line, 1 Circuit",30.5142247735782,51.6029324292845,30.2935233920264,51.8556778750084
