OBJECTID,Symbol,lon,lat
1,Hydro run of river & pondage,43.6840213908035,36.2086504227715
2,Substation,43.2587654868163,35.9959995837056
3,Substation,42.7637471755798,36.329754853942
4,Substation,43.7140822684723,36.1315595874121
5,Substation,43.9723379328056,35.4611767486117
6,Substation,43.4034011177553,35.079476880807
7,Substation,42.1908055278646,34.3971064037582
8,Substation,42.8639919113345,34.6123802273148
9,Substation,44.8143002210609,31.4583387443295
10,Substation,43.9621724973301,32.1824758873849
11,Substation,44.0152236799545,32.7082056737009
12,Substation,44.4376700251166,33.446973569089
13,Substation,44.2206604896307,33.8033742303483
14,Substation,44.4896470404169,33.7132748329063
15,Substation,44.0833854118283,33.6706849829784
16,Substation,45.2113719876897,32.4217330338606
17,Hydro run of river & pondage,43.3366265980577,35.8974641780511
18,Hydro run of river & pondage,43.4051587447359,35.2079450055791
19,Hydro run of river & pondage,43.849565229847,35.4694079098113
20,Hydro run of river & pondage,42.2538852822116,34.3092258781483
21,Hydro run of river & pondage,44.8077526129641,31.3940993890885
22,Other or not listed,43.8745599666972,32.1645035869987
23,Hydro run of river & pondage,43.9383628659839,32.6639211760333
49,Substation,38.9082047451525,23.5168002605186
50,Substation,37.5395643489911,24.7829848259724
51,Substation,38.8863543692198,24.4414479715581
52,Substation,39.5755907408129,24.4026527697221
53,Other or not listed,39.642490006249,24.6910941280858
54,Other or not listed,38.820567868667,23.5143533863004
55,Other or not listed,39.6929124628382,21.9402033913611
56,Substation,40.1566375446551,22.1356443750586
57,Substation,39.7169114367045,21.9851547837161
58,Other or not listed,40.2739758878621,22.0148657752016
59,Other or not listed,40.3897709192654,21.6715888071465
60,Other or not listed,39.7007203313423,21.5942387308017
61,Substation,39.2920750587943,22.9692346818342
62,Other or not listed,39.6739542577678,22.0866246358703
63,Substation,40.4993468261435,27.9538328554344
64,Substation,39.636328961256,24.7756024738325
65,Other or not listed,40.3432566119427,27.9653349908117
66,Other or not listed,39.6170327418769,24.4675871046917
67,Substation,39.5082889592643,24.7178333330245
68,Substation,39.387494946079,23.8741524781356
69,"Other or not listed, under construction",39.2560170593923,22.9206124383898
70,Substation,39.8833823747148,22.7588047755137
71,Substation,40.0264999129424,22.0808822035674
72,Substation,39.7270282025242,21.6641806919531
73,Substation,39.7479960657353,22.15941322598
74,Substation,39.7206736558078,22.2766353051515
75,Substation,39.6516489310649,22.2429885414972
76,Substation,39.7119728868885,22.0387441345882
77,Substation,40.1869001271608,21.8504007748228
78,Substation,40.3029362456461,22.0928585709914
79,Substation,40.402913242223,21.9455291779195
80,Substation,40.4625518997581,21.7196959341071
81,Substation,31.2548355737597,20.812541977006
