Layer;category;x_min_m;y_min_m;x_max_m;y_max_m;prob_mean;x_center_m;y_center_m;cell_km
Offtake;Greenhouse;4440000;2190000;4470000;2220000;86,797874;4455000;2205000;30
Offtake;Greenhouse;5220000;4290000;5250000;4320000;86,8415;5235000;4305000;30
Offtake;Greenhouse;4950000;3060000;4980000;3090000;86,8967;4965000;3075000;30
Offtake;Greenhouse;4860000;2790000;4890000;2820000;86,953186;4875000;2805000;30
Offtake;Greenhouse;4770000;1560000;4800000;1590000;87,092;4785000;1575000;30
Offtake;Greenhouse;3810000;2850000;3840000;2880000;87,30963;3825000;2865000;30
Offtake;Greenhouse;4830000;3060000;4860000;3090000;87,35823;4845000;3075000;30
Offtake;Greenhouse;3450000;2430000;3480000;2460000;87,43651;3465000;2445000;30
Offtake;Greenhouse;3330000;2190000;3360000;2220000;87,69462;3345000;2205000;30
Offtake;Greenhouse;3750000;2730000;3780000;2760000;87,80173;3765000;2745000;30
Offtake;Greenhouse;2670000;1860000;2700000;1890000;87,84426;2685000;1875000;30
Offtake;Greenhouse;3990000;3300000;4020000;3330000;87,85588;4005000;3315000;30
Offtake;Greenhouse;3630000;3420000;3660000;3450000;87,87917;3645000;3435000;30
Offtake;Greenhouse;2760000;1740000;2790000;1770000;87,9239;2775000;1755000;30
Offtake;Greenhouse;3510000;2730000;3540000;2760000;88,00163;3525000;2745000;30
Offtake;Greenhouse;5190000;3690000;5220000;3720000;88,23026;5205000;3705000;30
Offtake;Greenhouse;3180000;1620000;3210000;1650000;88,29049;3195000;1635000;30
Offtake;Greenhouse;3450000;3300000;3480000;3330000;88,31896;3465000;3315000;30
Offtake;Greenhouse;4770000;2670000;4800000;2700000;88,42611;4785000;2685000;30
Offtake;Greenhouse;3870000;3120000;3900000;3150000;88,45985;3885000;3135000;30
Offtake;Greenhouse;3150000;1620000;3180000;1650000;88,48185;3165000;1635000;30
Offtake;Greenhouse;2640000;1800000;2670000;1830000;88,62914;2655000;1815000;30
Offtake;Greenhouse;3570000;3450000;3600000;3480000;88,64789;3585000;3465000;30
Offtake;Greenhouse;4440000;2100000;4470000;2130000;88,70588;4455000;2115000;30
Offtake;Greenhouse;4800000;2790000;4830000;2820000;88,839325;4815000;2805000;30
Offtake;Greenhouse;3780000;2760000;3810000;2790000;88,89202;3795000;2775000;30
Offtake;Greenhouse;5070000;3390000;5100000;3420000;88,9275;5085000;3405000;30
Offtake;Greenhouse;4560000;2010000;4590000;2040000;89,314285;4575000;2025000;30
Offtake;Greenhouse;4770000;2070000;4800000;2100000;89,43557;4785000;2085000;30
Offtake;Greenhouse;3960000;3180000;3990000;3210000;89,47222;3975000;3195000;30
Offtake;Greenhouse;5190000;3630000;5220000;3660000;89,631;5205000;3645000;30
Offtake;Greenhouse;3270000;1650000;3300000;1680000;89,643715;3285000;1665000;30
Offtake;Greenhouse;4680000;4380000;4710000;4410000;89,698746;4695000;4395000;30
Offtake;Greenhouse;5550000;2220000;5580000;2250000;89,91827;5565000;2235000;30
Offtake;Greenhouse;2820000;1740000;2850000;1770000;90,28404;2835000;1755000;30
Offtake;Greenhouse;5130000;3060000;5160000;3090000;90,32;5145000;3075000;30
Offtake;Greenhouse;3120000;1620000;3150000;1650000;90,334366;3135000;1635000;30
Offtake;Greenhouse;5700000;2640000;5730000;2670000;90,33724;5715000;2655000;30
Offtake;Greenhouse;4770000;3360000;4800000;3390000;90,39231;4785000;3375000;30
Offtake;Greenhouse;5490000;2220000;5520000;2250000;90,51724;5505000;2235000;30
Offtake;Greenhouse;3870000;2370000;3900000;2400000;90,636566;3885000;2385000;30
Offtake;Greenhouse;5400000;2460000;5430000;2490000;90,82892;5415000;2475000;30
Offtake;Greenhouse;5370000;2070000;5400000;2100000;90,9027;5385000;2085000;30
Offtake;Greenhouse;4470000;3180000;4500000;3210000;90,92298;4485000;3195000;30
Offtake;Greenhouse;5250000;3600000;5280000;3630000;90,9375;5265000;3615000;30
Offtake;Greenhouse;5400000;2130000;5430000;2160000;90,976006;5415000;2145000;30
Offtake;Greenhouse;3750000;2850000;3780000;2880000;91,17027;3765000;2865000;30
Offtake;Greenhouse;4020000;3210000;4050000;3240000;91,208244;4035000;3225000;30
Offtake;Greenhouse;4260000;3450000;4290000;3480000;91,3251;4275000;3465000;30
Offtake;Greenhouse;5790000;2520000;5820000;2550000;91,377914;5805000;2535000;30
Offtake;Greenhouse;5370000;2130000;5400000;2160000;91,388885;5385000;2145000;30
Offtake;Greenhouse;3090000;2100000;3120000;2130000;91,46651;3105000;2115000;30
Offtake;Greenhouse;3210000;1590000;3240000;1620000;91,68889;3225000;1605000;30
Offtake;Greenhouse;5220000;3690000;5250000;3720000;91,78291;5235000;3705000;30
Offtake;Greenhouse;5340000;2070000;5370000;2100000;92,62199;5355000;2085000;30
Offtake;Greenhouse;5190000;3210000;5220000;3240000;92,92875;5205000;3225000;30
Offtake;Greenhouse;3900000;3150000;3930000;3180000;92,9392;3915000;3165000;30
Offtake;Greenhouse;3900000;3210000;3930000;3240000;93,56711;3915000;3225000;30
Offtake;Greenhouse;4020000;3150000;4050000;3180000;94,16486;4035000;3165000;30
Offtake;Greenhouse;3930000;3210000;3960000;3240000;94,24092;3945000;3225000;30
Offtake;Greenhouse;4020000;3270000;4050000;3300000;94,25033;4035000;3285000;30
Offtake;Greenhouse;3150000;1590000;3180000;1620000;94,31139;3165000;1605000;30
Offtake;Greenhouse;4020000;3180000;4050000;3210000;94,588905;4035000;3195000;30
Offtake;Greenhouse;3990000;3240000;4020000;3270000;95,678246;4005000;3255000;30
Offtake;Greenhouse;4020000;3120000;4050000;3150000;95,77045;4035000;3135000;30
Offtake;Greenhouse;5190000;2730000;5220000;2760000;96,327614;5205000;2745000;30
Offtake;Greenhouse;4020000;3300000;4050000;3330000;96,443695;4035000;3315000;30
Offtake;Greenhouse;2850000;1710000;2880000;1740000;96,56215;2865000;1725000;30
Offtake;Greenhouse;3180000;1590000;3210000;1620000;96,651886;3195000;1605000;30
Offtake;Greenhouse;2820000;1710000;2850000;1740000;98,14132;2835000;1725000;30
