Layer;category;x_min_m;y_min_m;x_max_m;y_max_m;prob_mean;x_center_m;y_center_m;cell_km
Offtake;Greenhouse;4740000;3090000;4770000;3120000;76,72115;4755000;3105000;30
Offtake;Greenhouse;3600000;2730000;3630000;2760000;76,721214;3615000;2745000;30
Offtake;Greenhouse;4920000;1800000;4950000;1830000;76,77631;4935000;1815000;30
Offtake;Greenhouse;3510000;2820000;3540000;2850000;76,78195;3525000;2835000;30
Offtake;Greenhouse;3630000;3300000;3660000;3330000;76,818474;3645000;3315000;30
Offtake;Greenhouse;3930000;3120000;3960000;3150000;76,9042;3945000;3135000;30
Offtake;Greenhouse;4620000;3390000;4650000;3420000;76,922226;4635000;3405000;30
Offtake;Greenhouse;3570000;3360000;3600000;3390000;76,92391;3585000;3375000;30
Offtake;Greenhouse;4470000;3660000;4500000;3690000;76,93569;4485000;3675000;30
Offtake;Greenhouse;4260000;2460000;4290000;2490000;77;4275000;2475000;30
Offtake;Greenhouse;3450000;2730000;3480000;2760000;77,01127;3465000;2745000;30
Offtake;Greenhouse;3780000;2790000;3810000;2820000;77,03278;3795000;2805000;30
Offtake;Greenhouse;4560000;3570000;4590000;3600000;77,04651;4575000;3585000;30
Offtake;Greenhouse;3720000;2190000;3750000;2220000;77,05255;3735000;2205000;30
Offtake;Greenhouse;4050000;3150000;4080000;3180000;77,054924;4065000;3165000;30
Offtake;Greenhouse;2640000;1920000;2670000;1950000;77,117645;2655000;1935000;30
Offtake;Greenhouse;4350000;2400000;4380000;2430000;77,150055;4365000;2415000;30
Offtake;Greenhouse;3480000;3270000;3510000;3300000;77,17275;3495000;3285000;30
Offtake;Greenhouse;3810000;2820000;3840000;2850000;77,245285;3825000;2835000;30
Offtake;Greenhouse;4260000;3510000;4290000;3540000;77,25;4275000;3525000;30
Offtake;Greenhouse;5640000;2310000;5670000;2340000;77,293335;5655000;2325000;30
Offtake;Greenhouse;5430000;2550000;5460000;2580000;77,29412;5445000;2565000;30
Offtake;Greenhouse;5040000;4290000;5070000;4320000;77,30556;5055000;4305000;30
Offtake;Greenhouse;4230000;1980000;4260000;2010000;77,30556;4245000;1995000;30
Offtake;Greenhouse;3690000;2280000;3720000;2310000;77,35849;3705000;2295000;30
Offtake;Greenhouse;3840000;2790000;3870000;2820000;77,44118;3855000;2805000;30
Offtake;Greenhouse;4290000;4110000;4320000;4140000;77,45;4305000;4125000;30
Offtake;Greenhouse;3810000;2970000;3840000;3000000;77,45775;3825000;2985000;30
Offtake;Greenhouse;3060000;3330000;3090000;3360000;77,45923;3075000;3345000;30
Offtake;Greenhouse;4800000;2010000;4830000;2040000;77,52459;4815000;2025000;30
Offtake;Greenhouse;3540000;2430000;3570000;2460000;77,52555;3555000;2445000;30
Offtake;Greenhouse;3840000;3090000;3870000;3120000;77,53093;3855000;3105000;30
Offtake;Greenhouse;4230000;1950000;4260000;1980000;77,545456;4245000;1965000;30
Offtake;Greenhouse;3840000;2760000;3870000;2790000;77,729164;3855000;2775000;30
Offtake;Greenhouse;4350000;2190000;4380000;2220000;77,74852;4365000;2205000;30
Offtake;Greenhouse;3570000;2910000;3600000;2940000;77,77027;3585000;2925000;30
Offtake;Greenhouse;2880000;4860000;2910000;4890000;77,771736;2895000;4875000;30
Offtake;Greenhouse;3150000;1650000;3180000;1680000;77,77419;3165000;1665000;30
Offtake;Greenhouse;4350000;2760000;4380000;2790000;77,77907;4365000;2775000;30
Offtake;Greenhouse;3120000;1650000;3150000;1680000;77,809525;3135000;1665000;30
Offtake;Greenhouse;5160000;2760000;5190000;2790000;77,81579;5175000;2775000;30
Offtake;Greenhouse;4860000;1770000;4890000;1800000;77,820656;4875000;1785000;30
Offtake;Greenhouse;4530000;3270000;4560000;3300000;77,87234;4545000;3285000;30
Offtake;Greenhouse;4140000;3210000;4170000;3240000;77,89493;4155000;3225000;30
Offtake;Greenhouse;4890000;2280000;4920000;2310000;77,939026;4905000;2295000;30
Offtake;Greenhouse;3660000;2730000;3690000;2760000;77,98522;3675000;2745000;30
Offtake;Greenhouse;3810000;2790000;3840000;2820000;78,0137;3825000;2805000;30
Offtake;Greenhouse;4980000;4590000;5010000;4620000;78,09091;4995000;4605000;30
Offtake;Greenhouse;4380000;2940000;4410000;2970000;78,10791;4395000;2955000;30
Offtake;Greenhouse;4920000;2760000;4950000;2790000;78,18519;4935000;2775000;30
Offtake;Greenhouse;4860000;1740000;4890000;1770000;78,219696;4875000;1755000;30
Offtake;Greenhouse;4290000;3420000;4320000;3450000;78,22147;4305000;3435000;30
Offtake;Greenhouse;3330000;2910000;3360000;2940000;78,22595;3345000;2925000;30
Offtake;Greenhouse;4260000;2490000;4290000;2520000;78,24262;4275000;2505000;30
Offtake;Greenhouse;3930000;2520000;3960000;2550000;78,28497;3945000;2535000;30
Offtake;Greenhouse;3570000;2460000;3600000;2490000;78,29146;3585000;2475000;30
Offtake;Greenhouse;4320000;3540000;4350000;3570000;78,38535;4335000;3555000;30
Offtake;Greenhouse;3570000;3150000;3600000;3180000;78,442474;3585000;3165000;30
Offtake;Greenhouse;5580000;2250000;5610000;2280000;78,45122;5595000;2265000;30
Offtake;Greenhouse;5580000;2490000;5610000;2520000;78,46829;5595000;2505000;30
Offtake;Greenhouse;3180000;3450000;3210000;3480000;78,5;3195000;3465000;30
Offtake;Greenhouse;3270000;2880000;3300000;2910000;78,52475;3285000;2895000;30
Offtake;Greenhouse;5130000;2640000;5160000;2670000;78,53506;5145000;2655000;30
Offtake;Greenhouse;4230000;2580000;4260000;2610000;78,59091;4245000;2595000;30
Offtake;Greenhouse;4320000;2970000;4350000;3000000;78,61053;4335000;2985000;30
Offtake;Greenhouse;4740000;2070000;4770000;2100000;78,67742;4755000;2085000;30
Offtake;Greenhouse;4260000;3600000;4290000;3630000;78,70588;4275000;3615000;30
Offtake;Greenhouse;3540000;2400000;3570000;2430000;78,77767;3555000;2415000;30
Offtake;Greenhouse;3450000;2820000;3480000;2850000;78,82873;3465000;2835000;30
Offtake;Greenhouse;4290000;3600000;4320000;3630000;78,83412;4305000;3615000;30
Offtake;Greenhouse;4590000;2010000;4620000;2040000;78,91629;4605000;2025000;30
Offtake;Greenhouse;3270000;2850000;3300000;2880000;78,932274;3285000;2865000;30
Offtake;Greenhouse;4530000;3420000;4560000;3450000;78,95614;4545000;3435000;30
Offtake;Greenhouse;4290000;2460000;4320000;2490000;79,08735;4305000;2475000;30
Offtake;Greenhouse;4350000;3270000;4380000;3300000;79,16495;4365000;3285000;30
Offtake;Greenhouse;4620000;3030000;4650000;3060000;79,16495;4635000;3045000;30
Offtake;Greenhouse;5190000;3660000;5220000;3690000;79,165276;5205000;3675000;30
Offtake;Greenhouse;4830000;2010000;4860000;2040000;79,25;4845000;2025000;30
Offtake;Greenhouse;5340000;2160000;5370000;2190000;79,260414;5355000;2175000;30
Offtake;Greenhouse;5070000;2610000;5100000;2640000;79,28571;5085000;2625000;30
Offtake;Greenhouse;3660000;2610000;3690000;2640000;79,325584;3675000;2625000;30
Offtake;Greenhouse;5100000;2610000;5130000;2640000;79,35071;5115000;2625000;30
Offtake;Greenhouse;3690000;2100000;3720000;2130000;79,43119;3705000;2115000;30
Offtake;Greenhouse;3570000;2670000;3600000;2700000;79,44262;3585000;2685000;30
Offtake;Greenhouse;3600000;3300000;3630000;3330000;79,47797;3615000;3315000;30
Offtake;Greenhouse;4620000;3270000;4650000;3300000;79,4876;4635000;3285000;30
Offtake;Greenhouse;5640000;2280000;5670000;2310000;79,5;5655000;2295000;30
Offtake;Greenhouse;5250000;3090000;5280000;3120000;79,503815;5265000;3105000;30
Offtake;Greenhouse;4410000;2970000;4440000;3000000;79,52313;4425000;2985000;30
Offtake;Greenhouse;4830000;3090000;4860000;3120000;79,56225;4845000;3105000;30
Offtake;Greenhouse;4500000;3240000;4530000;3270000;79,581924;4515000;3255000;30
Offtake;Greenhouse;3990000;3180000;4020000;3210000;79,59036;4005000;3195000;30
Offtake;Greenhouse;3240000;1620000;3270000;1650000;79,66271;3255000;1635000;30
Offtake;Greenhouse;4410000;3090000;4440000;3120000;79,666664;4425000;3105000;30
Offtake;Greenhouse;3240000;3570000;3270000;3600000;79,69892;3255000;3585000;30
Offtake;Greenhouse;2850000;2070000;2880000;2100000;79,78205;2865000;2085000;30
Offtake;Greenhouse;4560000;1620000;4590000;1650000;79,78866;4575000;1635000;30
Offtake;Greenhouse;3630000;3330000;3660000;3360000;79,79939;3645000;3345000;30
Offtake;Greenhouse;4710000;2640000;4740000;2670000;79,81275;4725000;2655000;30
Offtake;Greenhouse;4260000;3060000;4290000;3090000;79,823944;4275000;3075000;30
Offtake;Greenhouse;4350000;2430000;4380000;2460000;79,834305;4365000;2445000;30
Offtake;Greenhouse;5130000;3720000;5160000;3750000;79,916664;5145000;3735000;30
Offtake;Greenhouse;3960000;2760000;3990000;2790000;79,935486;3975000;2775000;30
Offtake;Greenhouse;3720000;2850000;3750000;2880000;79,955185;3735000;2865000;30
Offtake;Greenhouse;4680000;3420000;4710000;3450000;79,975;4695000;3435000;30
Offtake;Greenhouse;3420000;3150000;3450000;3180000;80;3435000;3165000;30
Offtake;Greenhouse;3330000;1680000;3360000;1710000;80;3345000;1695000;30
Offtake;Greenhouse;3840000;2280000;3870000;2310000;80,0513;3855000;2295000;30
Offtake;Greenhouse;2730000;1740000;2760000;1770000;80,09132;2745000;1755000;30
Offtake;Greenhouse;3630000;3360000;3660000;3390000;80,10204;3645000;3375000;30
Offtake;Greenhouse;4020000;2250000;4050000;2280000;80,171974;4035000;2265000;30
Offtake;Greenhouse;5460000;1800000;5490000;1830000;80,1875;5475000;1815000;30
Offtake;Greenhouse;4200000;1800000;4230000;1830000;80,20951;4215000;1815000;30
Offtake;Greenhouse;4800000;3120000;4830000;3150000;80,251175;4815000;3135000;30
Offtake;Greenhouse;3330000;1740000;3360000;1770000;80,27586;3345000;1755000;30
Offtake;Greenhouse;3600000;3210000;3630000;3240000;80,29189;3615000;3225000;30
Offtake;Greenhouse;4920000;1950000;4950000;1980000;80,30121;4935000;1965000;30
Offtake;Greenhouse;3960000;3150000;3990000;3180000;80,30695;3975000;3165000;30
Offtake;Greenhouse;5130000;2670000;5160000;2700000;80,360466;5145000;2685000;30
Offtake;Greenhouse;4830000;3180000;4860000;3210000;80,36979;4845000;3195000;30
Offtake;Greenhouse;4830000;1710000;4860000;1740000;80,370964;4845000;1725000;30
Offtake;Greenhouse;4440000;3600000;4470000;3630000;80,40952;4455000;3615000;30
Offtake;Greenhouse;4470000;3150000;4500000;3180000;80,48951;4485000;3165000;30
Offtake;Greenhouse;5130000;4200000;5160000;4230000;80,56035;5145000;4215000;30
Offtake;Greenhouse;3900000;2280000;3930000;2310000;80,5843;3915000;2295000;30
Offtake;Greenhouse;5100000;2640000;5130000;2670000;80,61394;5115000;2655000;30
Offtake;Greenhouse;3390000;3150000;3420000;3180000;80,62329;3405000;3165000;30
Offtake;Greenhouse;4320000;3660000;4350000;3690000;80,67629;4335000;3675000;30
Offtake;Greenhouse;3720000;2670000;3750000;2700000;80,692986;3735000;2685000;30
Offtake;Greenhouse;4350000;3570000;4380000;3600000;80,69502;4365000;3585000;30
Offtake;Greenhouse;4320000;2400000;4350000;2430000;80,71717;4335000;2415000;30
Offtake;Greenhouse;3270000;2940000;3300000;2970000;80,72527;3285000;2955000;30
Offtake;Greenhouse;4380000;2370000;4410000;2400000;80,896706;4395000;2385000;30
Offtake;Greenhouse;4290000;2490000;4320000;2520000;80,90389;4305000;2505000;30
Offtake;Greenhouse;3420000;3300000;3450000;3330000;80,928;3435000;3315000;30
Offtake;Greenhouse;4350000;3330000;4380000;3360000;80,99419;4365000;3345000;30
Offtake;Greenhouse;3990000;3060000;4020000;3090000;81,09586;4005000;3075000;30
Offtake;Greenhouse;4230000;1800000;4260000;1830000;81,15026;4245000;1815000;30
Offtake;Greenhouse;5250000;3300000;5280000;3330000;81,206894;5265000;3315000;30
Offtake;Greenhouse;4830000;3330000;4860000;3360000;81,22857;4845000;3345000;30
Offtake;Greenhouse;5220000;3630000;5250000;3660000;81,26966;5235000;3645000;30
Offtake;Greenhouse;3480000;2820000;3510000;2850000;81,34615;3495000;2835000;30
Offtake;Greenhouse;3390000;2700000;3420000;2730000;81,35283;3405000;2715000;30
Offtake;Greenhouse;4230000;3360000;4260000;3390000;81,38095;4245000;3375000;30
Offtake;Greenhouse;3450000;2850000;3480000;2880000;81,402336;3465000;2865000;30
Offtake;Greenhouse;5160000;3210000;5190000;3240000;81,417725;5175000;3225000;30
Offtake;Greenhouse;4740000;1890000;4770000;1920000;81,57923;4755000;1905000;30
Offtake;Greenhouse;4110000;3240000;4140000;3270000;81,601265;4125000;3255000;30
Offtake;Greenhouse;3720000;3240000;3750000;3270000;81,613335;3735000;3255000;30
Offtake;Greenhouse;4290000;3570000;4320000;3600000;81,62162;4305000;3585000;30
Offtake;Greenhouse;4740000;1950000;4770000;1980000;81,72191;4755000;1965000;30
Offtake;Greenhouse;3630000;2490000;3660000;2520000;81,736115;3645000;2505000;30
Offtake;Greenhouse;4890000;1950000;4920000;1980000;81,753426;4905000;1965000;30
Offtake;Greenhouse;3150000;3360000;3180000;3390000;81,79845;3165000;3375000;30
Offtake;Greenhouse;3510000;3120000;3540000;3150000;81,8222;3525000;3135000;30
Offtake;Greenhouse;4530000;2040000;4560000;2070000;81,945946;4545000;2055000;30
Offtake;Greenhouse;3810000;3090000;3840000;3120000;81,96311;3825000;3105000;30
Offtake;Greenhouse;3510000;3780000;3540000;3810000;81,96747;3525000;3795000;30
Offtake;Greenhouse;3870000;2910000;3900000;2940000;81,98995;3885000;2925000;30
Offtake;Greenhouse;3270000;2910000;3300000;2940000;82,02269;3285000;2925000;30
Offtake;Greenhouse;4620000;2970000;4650000;3000000;82,03876;4635000;2985000;30
Offtake;Greenhouse;4830000;2790000;4860000;2820000;82,15719;4845000;2805000;30
Offtake;Greenhouse;4260000;3270000;4290000;3300000;82,16483;4275000;3285000;30
Offtake;Greenhouse;4140000;3330000;4170000;3360000;82,18496;4155000;3345000;30
Offtake;Greenhouse;3450000;3420000;3480000;3450000;82,187325;3465000;3435000;30
Offtake;Greenhouse;4170000;1770000;4200000;1800000;82,22409;4185000;1785000;30
Offtake;Greenhouse;3630000;3450000;3660000;3480000;82,2451;3645000;3465000;30
Offtake;Greenhouse;3870000;2280000;3900000;2310000;82,306595;3885000;2295000;30
Offtake;Greenhouse;3480000;3120000;3510000;3150000;82,30769;3495000;3135000;30
Offtake;Greenhouse;4710000;3180000;4740000;3210000;82,32743;4725000;3195000;30
Offtake;Greenhouse;4380000;2400000;4410000;2430000;82,38802;4395000;2415000;30
Offtake;Greenhouse;4470000;3330000;4500000;3360000;82,39781;4485000;3345000;30
Offtake;Greenhouse;5760000;2430000;5790000;2460000;82,40146;5775000;2445000;30
Offtake;Greenhouse;3690000;2880000;3720000;2910000;82,505684;3705000;2895000;30
Offtake;Greenhouse;5430000;1980000;5460000;2010000;82,51948;5445000;1995000;30
Offtake;Greenhouse;3510000;3720000;3540000;3750000;82,53636;3525000;3735000;30
Offtake;Greenhouse;4620000;4020000;4650000;4050000;82,566666;4635000;4035000;30
Offtake;Greenhouse;5340000;1650000;5370000;1680000;82,567566;5355000;1665000;30
Offtake;Greenhouse;3570000;2550000;3600000;2580000;82,64706;3585000;2565000;30
Offtake;Greenhouse;2730000;1710000;2760000;1740000;82,71665;2745000;1725000;30
Offtake;Greenhouse;4830000;2940000;4860000;2970000;82,72727;4845000;2955000;30
Offtake;Greenhouse;4500000;3210000;4530000;3240000;82,78425;4515000;3225000;30
Offtake;Greenhouse;3780000;2910000;3810000;2940000;82,78788;3795000;2925000;30
Offtake;Greenhouse;4950000;4440000;4980000;4470000;82,828575;4965000;4455000;30
Offtake;Greenhouse;4980000;4440000;5010000;4470000;82,8924;4995000;4455000;30
Offtake;Greenhouse;3450000;3270000;3480000;3300000;82,93449;3465000;3285000;30
Offtake;Greenhouse;3660000;2250000;3690000;2280000;82,98637;3675000;2265000;30
Offtake;Greenhouse;3300000;1740000;3330000;1770000;82,992226;3315000;1755000;30
Offtake;Greenhouse;4890000;2010000;4920000;2040000;83,023026;4905000;2025000;30
Offtake;Greenhouse;3420000;2700000;3450000;2730000;83,146355;3435000;2715000;30
Offtake;Greenhouse;4770000;2790000;4800000;2820000;83,16218;4785000;2805000;30
Offtake;Greenhouse;5700000;2400000;5730000;2430000;83,21277;5715000;2415000;30
Offtake;Greenhouse;5100000;2670000;5130000;2700000;83,3028;5115000;2685000;30
Offtake;Greenhouse;4410000;3390000;4440000;3420000;83,35669;4425000;3405000;30
Offtake;Greenhouse;5250000;4320000;5280000;4350000;83,5;5265000;4335000;30
Offtake;Greenhouse;2670000;2010000;2700000;2040000;83,51817;2685000;2025000;30
Offtake;Greenhouse;4710000;1530000;4740000;1560000;83,656105;4725000;1545000;30
Offtake;Greenhouse;5370000;2100000;5400000;2130000;83,66418;5385000;2115000;30
Offtake;Greenhouse;3600000;2280000;3630000;2310000;83,70339;3615000;2295000;30
Offtake;Greenhouse;4320000;3420000;4350000;3450000;83,70727;4335000;3435000;30
Offtake;Greenhouse;3330000;1710000;3360000;1740000;83,731705;3345000;1725000;30
Offtake;Greenhouse;4320000;3600000;4350000;3630000;83,80145;4335000;3615000;30
Offtake;Greenhouse;3930000;3240000;3960000;3270000;83,80912;3945000;3255000;30
Offtake;Greenhouse;3720000;3270000;3750000;3300000;83,85156;3735000;3285000;30
Offtake;Greenhouse;4140000;3300000;4170000;3330000;83,85651;4155000;3315000;30
Offtake;Greenhouse;4740000;2640000;4770000;2670000;83,86364;4755000;2655000;30
Offtake;Greenhouse;3480000;2730000;3510000;2760000;83,95385;3495000;2745000;30
Offtake;Greenhouse;3480000;3750000;3510000;3780000;84,10219;3495000;3765000;30
Offtake;Greenhouse;5100000;3030000;5130000;3060000;84,16054;5115000;3045000;30
Offtake;Greenhouse;4830000;3360000;4860000;3390000;84,23005;4845000;3375000;30
